6600000,6600000,3,3,9000,1000000,1200000
12800000,12800000,3,4,21000,1600000,2000000
13800000,13800000,2,7,15000,1300000,1600000
62700000,62700000,4,17,45000,2500000,3100000
69500000,69500000,5,20,18000,2700000,2800000
100000000,100000000,6,22,60000,3100000,3700000
91200000,91200000,3,28,30000,2400000,3000000
105500000,105500000,5,35,36000,2200000,2700000
580600000,580600000,2,110,105000,4300000,5200000
987000000,987000000,5,150,150000,5400000,6400000
2092600000,2092600000,2,372,120000,4700000,5600000
76000000,76000000,40,0,27000,1900000,2300000
